Column1,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Mobile Phone,Motorola,88EB4558,Site candidate activity company there bit inside soldier decide information.,78570,02-08-2023,03-08-2023,6,William Hess,South Kelsey,Central,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
Laptop,Oppo,416DFEEB,Beat put care fight affect address his.,44613,03-10-2023,06-10-2023,1,Larry Smith,North Lisa,South,Ryzen 5,Ryzen 5,8GB,512GB,256GB
Mobile Phone,Samsung,9F975B08,Energy special low seven place audience.,159826,19-03-2025,20-03-2025,5,Leah Copeland,South Todd,Central,N/A,MediaTek Dimensity,8GB,256GB,N/A
Laptop,Sony,73D2A7CC,Friend record hard contain minute we role sea most.,20911,06-02-2024,27-03-2024,1,Dan Kirby,New Jordanmouth,South,i7,i7,12GB,64GB,2TB
Laptop,Microsoft,CCE0B80D,Program recently feeling save tree hotel people.,69832,10-08-2023,10-09-2023,4,Dean Martin,Keithton,East,i7,i7,8GB,128GB,2TB
Laptop,HP,10A5C53D,Recognize happen middle clear simple player positive improve team there crime.,190474,19-03-2025,08-05-2025,1,Monica Berry,West Heather,Central,i7,i7,16GB,64GB,256GB
Mobile Phone,Dell,14932CAE,Could before almost wind couple evening perform one take.,11670,10-10-2023,16-10-2023,6,Nicole Gonzalez,South Miguel,North,N/A,Apple A-Series,16GB,256GB,N/A
Laptop,Apple,D58FF785,Reality sea weight thing newspaper good next generation keep official foreign nearly concern.,15041,29-10-2023,20-12-2023,1,Danielle Smith,North Travis,South,i7,i7,12GB,128GB,256GB
Laptop,Apple,4FC302CF,Owner necessary total determine view stock church oil successful.,186647,27-09-2023,11-10-2023,3,Kyle Brown,West Dakota,East,i5,i5,16GB,64GB,1TB
Mobile Phone,Motorola,E3CF42BE,Responsibility form left final suffer party picture question environmental dog.,174698,09-02-2025,20-03-2025,10,Miranda Clayton,North Deanna,North,N/A,MediaTek Dimensity,6GB,64GB,N/A
Mobile Phone,Apple,F54013D6,To say system loss near him.,51251,03-04-2023,19-04-2023,9,Ms. Katie Anderson,Lake Laurenfort,North,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
Mobile Phone,Toshiba,38604169,At American discussion travel building training tend total people year country ever.,179710,11-04-2024,28-04-2024,8,Jennifer Taylor,Allenside,East,N/A,Snapdragon 7s,6GB,512GB,N/A
Mobile Phone,Realme,E1DA13C1,Building eye media beat until together mother federal lot dream ready yet.,132370,23-04-2023,18-05-2023,6,Steven Foster,Victorberg,West,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
Laptop,Nokia,2744030A,In all blue newspaper space doctor financial quite suddenly stay participant.,195641,11-05-2023,08-07-2023,10,Louis Young,New Kyletown,Central,Ryzen 3,Ryzen 3,12GB,256GB,256GB
Laptop,Lenovo,9F9A8BA9,Perform plan center address back design suddenly.,121462,14-04-2023,16-05-2023,1,Laura Martin,East Katherine,West,i3,i3,6GB,128GB,512GB
Mobile Phone,Samsung,00A8F8A0,Environment wish certain about should ever modern plant.,57148,27-11-2023,08-12-2023,7,Cristian Briggs,Port Nicole,East,N/A,MediaTek Helio,16GB,256GB,N/A
Mobile Phone,HP,CF70EFC5,Opportunity work half certain phone community recognize despite base arrive guess hope firm.,136094,09-06-2023,17-07-2023,9,Douglas Bass,North Glennmouth,North,N/A,Apple A-Series,12GB,128GB,N/A
Mobile Phone,Google,7FE9993A,Range strong full claim join quite hit never keep success travel treatment hear.,89801,15-01-2025,31-01-2025,9,Paul Stokes,Chapmanside,West,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
Mobile Phone,Acer,E7692916,Eight sea financial station drug wear.,54134,01-07-2024,13-08-2024,4,Jonathan Morgan,Zacharyside,Central,N/A,MediaTek Helio,12GB,256GB,N/A
Laptop,Oppo,C215F637,Small push executive professional stand spring.,138695,14-02-2025,02-03-2025,8,Paula Sims,Lake Williamshire,West,i7,i7,16GB,512GB,1TB
Laptop,iQOO,651469C2,Democrat here debate also better develop.,168076,02-07-2023,12-07-2023,8,Mr. James Harris,Rayville,South,i5,i5,6GB,128GB,1TB
Laptop,Microsoft,5931B97C,Do score chair office per through north question trip majority.,86089,27-10-2024,22-12-2024,1,David Anderson,Masonmouth,West,i7,i7,16GB,1TB,1TB
Laptop,Sony,335BA5BE,Inside others our maybe test professional feel.,185556,23-11-2023,23-12-2023,8,Brian Baker,Maryville,Central,Ryzen 5,Ryzen 5,16GB,512GB,2TB
Laptop,Nokia,7402DBC0,Forget then entire may system total audience people.,55049,14-09-2023,18-09-2023,9,William Scott,Smithview,North,Ryzen 3,Ryzen 3,8GB,64GB,1TB
Laptop,Lenovo,552EAB5F,Structure road unit theory inside station war source accept contain serious.,9395,27-02-2025,16-04-2025,9,Megan Valenzuela,North Raymondtown,South,Ryzen 5,Ryzen 5,12GB,256GB,512GB
Mobile Phone,Realme,BF018999,Or another gun they role growth free world.,132523,15-10-2023,01-12-2023,6,William Wilson,Burtonhaven,West,N/A,Snapdragon 7s,8GB,64GB,N/A
Laptop,iQOO,37D3F7F4,Skill figure play beyond interest perhaps network lead another responsibility.,87053,14-09-2024,09-11-2024,2,Dennis Taylor,Paulport,South,i7,i7,8GB,64GB,2TB
Laptop,HP,4EBDFE31,Attention less least beat five play receive capital strategy.,29617,31-08-2024,02-10-2024,10,Olivia Garcia,Thomasside,Central,i3,i3,32GB,512GB,512GB
Laptop,Samsung,CF884218,Film network mouth continue admit second.,133951,12-04-2024,01-05-2024,2,Bruce Terry,Jeremyton,West,Ryzen 3,Ryzen 3,16GB,1TB,512GB
Laptop,Redmi,9A61C658,Base hour run to heart building wonder seven field send risk human smile exactly.,11675,23-09-2023,27-10-2023,6,Kyle Wright,Vaughanchester,South,i9,i9,6GB,512GB,512GB
Mobile Phone,HP,C98F17CA,Painting seat process all law high plant break modern north plant share.,97112,11-12-2024,12-12-2024,8,Evan Olson,South David,Central,N/A,Samsung Exynos,12GB,128GB,N/A
Laptop,Realme,1C31DF4A,Father close continue floor bill happen item politics close offer election think all.,81871,03-03-2025,12-04-2025,5,Jamie Ramirez,Lake Thomasshire,East,Ryzen 5,Ryzen 5,4GB,1TB,256GB
Laptop,Acer,BD6CC48B,Scientist be program laugh identify heart forward generation while small work.,28150,27-11-2024,28-12-2024,5,Sarah Perez,New Jamiestad,Central,Ryzen 3,Ryzen 3,8GB,1TB,2TB
Mobile Phone,iQOO,F13739FF,Hair young cause own drop despite or personal agent be red he.,66535,18-12-2023,27-01-2024,4,Nina Butler,Lake Aaron,South,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
Mobile Phone,Dell,BDAB9D30,Thus his however large suddenly analysis recognize matter quickly up.,104292,28-10-2023,30-11-2023,8,Gary Williams,Mitchellton,North,N/A,Snapdragon 8 Gen,32GB,512GB,N/A
Mobile Phone,Samsung,B51BE37A,Environmental institution well position mind relationship management.,27749,06-03-2025,30-03-2025,6,Nicole Wood,Ruiztown,West,N/A,Snapdragon 8 Gen,32GB,64GB,N/A
Mobile Phone,HP,26825C0F,Choose election west provide so because police yeah the.,161473,18-06-2024,20-07-2024,4,Mr. Michael Taylor,Nortonland,West,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
Mobile Phone,Lenovo,9F8C2082,Air interest society either treatment impact she teach job town peace usually process.,69287,16-10-2023,11-12-2023,2,Max Harrison,South Elizabethchester,South,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
Mobile Phone,Nokia,A957726E,Call seven capital measure together pattern detail effort somebody.,97802,13-07-2023,25-08-2023,7,Joel Turner,Craigborough,South,N/A,Snapdragon 7 Gen,32GB,128GB,N/A
Mobile Phone,iQOO,A692B6B2,The whole away chair tonight control.,107133,20-08-2024,27-09-2024,9,Keith Smith,Jonesport,West,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
Mobile Phone,iQOO,88EC2E27,A data member rather enough color say also.,7670,08-04-2024,05-05-2024,5,Leslie Gomez,Anthonyhaven,North,N/A,Snapdragon 7s,4GB,512GB,N/A
Laptop,Asus,7289581E,Like color into town product both recent trip.,88221,19-11-2024,02-12-2024,8,Logan Grant,Parkerberg,Central,Ryzen 7,Ryzen 7,8GB,512GB,256GB
Laptop,Microsoft,3.39E+04,Glass politics model standard personal really past performance condition my politics effort probably.,144051,02-02-2025,01-03-2025,8,Michelle Mckinney,Alyssaburgh,South,Ryzen 7,Ryzen 7,4GB,128GB,2TB
Laptop,Toshiba,E83D4195,Her which never three land thus prepare and quickly song adult.,64073,13-11-2023,01-01-2024,6,Joel Stevenson,Michellebury,Central,i5,i5,6GB,64GB,2TB
Laptop,Google,29493FAA,Should water thank writer goal card religious reduce shake.,149785,14-08-2024,30-09-2024,3,Matthew Kennedy,South Ericaside,East,i3,i3,6GB,256GB,512GB
Laptop,Oppo,6C6A51C8,Camera what clearly security area upon listen spring.,153916,04-03-2024,04-04-2024,4,Luke Adams,Josebury,North,Ryzen 9,Ryzen 9,6GB,512GB,2TB
Mobile Phone,Realme,98660CB1,Common name once or assume girl resource onto firm office per.,67598,21-03-2024,11-05-2024,7,Gregory Jones,East Scottport,North,N/A,Apple A-Series,32GB,256GB,N/A
Laptop,Samsung,AEFEC66E,Change off adult level age technology garden section.,61230,07-07-2024,09-08-2024,9,Ryan Lee,New Jessica,East,Ryzen 7,Ryzen 7,4GB,64GB,2TB
Mobile Phone,Asus,B6659342,Then air suggest certainly author forget sell.,9522,02-05-2024,20-05-2024,3,Luis Snyder,West Kurt,Central,N/A,Apple A-Series,6GB,64GB,N/A
Mobile Phone,Vivo,DD508DD0,Trial light standard focus measure computer mean drop.,59309,21-02-2024,15-03-2024,9,Brian Avila,East Julia,Central,N/A,MediaTek Dimensity,4GB,64GB,N/A
Mobile Phone,Motorola,350528D5,Conference successful little over society all idea.,154020,30-06-2023,02-08-2023,3,Jesus Webster,West Jordan,Central,N/A,Snapdragon 7 Gen,4GB,64GB,N/A
Laptop,Vivo,ECFDD5AD,Foot enter result their focus power someone suffer.,159254,19-08-2023,11-09-2023,4,Diana Smith,Walkermouth,West,i3,i3,6GB,128GB,1TB
Laptop,iQOO,F5B6B3D7,Imagine adult single check role do.,165298,03-06-2024,27-06-2024,8,Diana Owens,New Jefferyfurt,North,i7,i7,4GB,64GB,1TB
Mobile Phone,Google,33C9E127,Security quality however civil fly rest production up throughout student in citizen media.,89297,02-09-2024,12-09-2024,4,Edward Torres,Jonesfort,West,N/A,Snapdragon 7s,6GB,512GB,N/A
Mobile Phone,iQOO,1EFB4542,School career suddenly item appear job.,75366,02-04-2023,01-06-2023,4,Amy Brown,North Lisa,Central,N/A,Samsung Exynos,16GB,128GB,N/A
Laptop,Samsung,BD867652,Country huge answer water group certainly customer already room natural everything something.,105696,17-02-2025,21-02-2025,4,Ian Coleman,North Brian,West,Ryzen 5,Ryzen 5,16GB,128GB,256GB
Mobile Phone,Redmi,7B6AD3FF,Moment else up western general successful mention environment decade this.,185287,12-08-2023,15-09-2023,4,Ashley Mccoy,Mcculloughchester,West,N/A,Samsung Exynos,12GB,1TB,N/A
Laptop,Acer,0E892823,Almost present skill read agreement often age stop.,124578,23-07-2023,14-09-2023,5,Gabriel Guerra,Lake Codyborough,North,i7,i7,12GB,1TB,256GB
Laptop,Samsung,B5960254,Arm analysis minute head character air rather within traditional wrong.,26317,19-01-2025,05-02-2025,6,Kristin Rodriguez,Port Anthonyburgh,West,Ryzen 7,Ryzen 7,32GB,256GB,512GB
Mobile Phone,Google,3FF7069B,Evening purpose really former young effect.,150746,21-06-2024,13-07-2024,4,Joseph Williams MD,Hernandezberg,West,N/A,Snapdragon 8 Gen,6GB,64GB,N/A
Laptop,Motorola,0F0C53FB,Certain head place also bed person middle law great late finish at.,51818,17-10-2023,14-12-2023,7,Laura Davis,Shermanstad,West,Ryzen 7,Ryzen 7,4GB,256GB,256GB
Laptop,Nokia,F6DE94E0,Customer property economy space himself card.,148517,16-03-2024,12-05-2024,1,Holly Morales,Chanville,East,Ryzen 5,Ryzen 5,32GB,256GB,1TB
Laptop,Nokia,775C9D4A,Money light case condition prevent get their film suddenly do product deep.,111353,26-04-2023,24-06-2023,5,Walter Levine,New Jasonchester,Central,i3,i3,4GB,1TB,256GB
Mobile Phone,Realme,FFAFAD2B,Mother upon sound two play popular politics consumer.,23100,05-07-2023,21-08-2023,9,Michelle Gallagher,West Jesseton,North,N/A,MediaTek Helio,32GB,128GB,N/A
Laptop,OnePlus,F9849F0C,Term security its home book find agreement understand.,136232,09-09-2023,26-10-2023,3,Elizabeth Austin,East Alexanderside,North,i3,i3,12GB,256GB,256GB
Mobile Phone,HP,1E7A5A03,Trouble require protect throw name military add remember fall director.,86484,30-08-2023,20-09-2023,4,Rebecca Daniels,Port Bonnie,Central,N/A,MediaTek Helio,8GB,128GB,N/A
Laptop,Google,DB6F5FEC,Marriage how tax partner establish office school.,37405,13-08-2024,02-10-2024,3,Johnny Rodriguez,Port Brian,West,i3,i3,12GB,64GB,1TB
Mobile Phone,Google,D0EB2343,Take religious PM run you she sense.,9270,18-08-2024,27-08-2024,8,Daniel Marshall,Lake Sarahmouth,West,N/A,MediaTek Dimensity,12GB,256GB,N/A
Laptop,iQOO,D4B363CC,Mr significant fill consider or participant sound.,11902,11-06-2024,03-08-2024,8,Dana Conner,Cabreraland,South,Ryzen 7,Ryzen 7,8GB,64GB,512GB
